sep=,
"Time","Global Solar","PV Solar Altitude","PV Solar Azimuth","PV Angle of Incidence","PV Incident Solar","PV Power Output","PV Cell Temperature","Wind Speed","Wind Turbine Power Output","Wind Turbine Operating Status","Ambient Temperature","AC Primary Load","AC Primary Load Served","Grid Purchases","Grid Sales","FC Power Output","FC Operating Status","FC Fuel","Total Electrical Load Served","Renewable Penetration","Excess Electrical Production","Unmet Electrical Load","Total Renewable Power Output","Inverter Power Input","Inverter Power Output","Rectifier Power Input","Rectifier Power Output","BESS Maximum Charge Power","BESS Maximum Discharge Power","BESS Charge Power","BESS Discharge Power","BESS Input Power","BESS Energy Content","BESS State of Charge","BESS Energy Cost","Electrolyzer Input","Electrolyzer Output","Stored Hydrogen","Excess Hydrogen","AC Required Operating Capacity","DC Required Operating Capacity","AC Operating Capacity","DC Operating Capacity"
,"kW/m2","°","°","°","kW/m2","kW","°C","m/s","kW","status","°C","kW","kW","kW","kW","kW","status","kg","kW","%","kW","kW","kW","kW","kW","kW","kW","kW","kW","kW","kW","kW","kWh","%","$/kWh","kW","kg/hr","kg","kg/hr","kW","kW","kW","kW"
"1/1/2007 12:00:00 AM","0","0","-99.37981","90","0","0","17.98976","2.512055","0","0","17.98976","15.25219","15.25219","0","135.2261","0","0","0","300.4782","0","0","0","0","158.3982","150.4783","0","0","0","483.661","0","308.3982","-308.3982","586.5493","61.74203","0","150","3.232394","353.2324","0","16.77741","0","999999","483.661"
"1/1/2007 1:00:00 AM","0","0","-88.92641","90","0","0","17.98976","2.226052","0","0","17.98976","12.8707","12.8707","0","137.6075","0","0","0","300.4782","0","0","0","0","158.3982","150.4783","0","0","335.8757","417.0934","0","308.3982","-308.3982","223.0986","23.48406","0","150","3.232394","356.4648","0","14.15777","0","999999","417.0934"
"1/1/2007 2:00:00 AM","0","0","-84.33158","90","0","0","17.98976","1.36488","0","0","17.98976","18.95065","18.95065","0","17.80982","80","0","5.36","186.7605","0","0","0","0","38.69524","36.76048","0","0","335.8757","108.6952","0","108.6952","-108.6952","95","10","0","150","3.232394","354.3372","0","20.84572","0","999999","188.6952"
"1/1/2007 3:00:00 AM","0","0","-80.29659","90","0","0","17.98976","1.654468","0","0","17.98976","23.33436","23.33436","0","0","80","0","5.36","23.33436","0","0","0","0","24.56249","23.33436","0","0","335.8757","0","55.43751","0","55.43751","142.0403","14.95161","0","0","0","348.9772","0","25.6678","0","999999","80"
"1/1/2007 4:00:00 AM","0","0","-76.14985","90","0","0","17.98976","2.315554","0","0","17.98976","80.7767","80.7767","350.1196","0","80","0","5.36","80.7767","0","0","0","0","0","0","269.3429","255.8757","335.8757","39.91501","335.8757","0","335.8757","427.0403","44.95161","0.09805809","0","0","343.6172","0","88.85436","0","999999","119.915"
"1/1/2007 5:00:00 AM","0","0","-71.56732","90","0","0","17.98976","1.101676","0","0","17.98976","118.9089","118.9089","388.2517","0","80","0","5.36","118.9089","0","0","0","0","0","0","269.3429","255.8757","335.8757","281.7455","335.8757","0","335.8757","712.0403","74.95161","0.1055336","0","0","338.2572","0","130.7998","0","999999","361.7455"
"1/1/2007 6:00:00 AM","0.004074772","0","-66.2392","90","0","0","17.98976","2.451857","0","0","17.98976","96.77641","96.77641","307.764","0","80","0","5.36","96.77641","0","0","0","0","0","0","210.9876","200.4382","280.4382","483.661","280.4382","0","280.4382","950","100","0.1078081","0","0","332.8972","0","106.4541","0","999999","563.661"
"1/1/2007 7:00:00 AM","0.06625714","8.633303","-59.76871","70.03324","0.07108578","29.69048","19.69183","3.074419","19.63657","0","17.98976","84.53085","84.53085","0","0","80","0","5.36","125.9116","39.17595","0","0","49.32705","68.30978","64.89429","0","0","0","483.661","0","0","0","950","100","0.1078081","41.38071","0.8917251","328.4289","0","102.8022","23.75239","1000019","593.3515"
"1/1/2007 8:00:00 AM","0.1372622","19.94118","-51.60291","56.56937","0.1375727","57.10954","21.28886","4.731331","131.3991","0","17.98976","71.26112","71.26112","0","46.56907","80","0","5.36","267.8302","70.38364","0","0","188.5087","0","0","13.56891","12.89046","0","483.661","0","0","0","950","100","0.1078081","150","3.232394","326.3013","0","144.0868","45.68763","1000130","620.7706"
"1/1/2007 9:00:00 AM","0.2516359","29.85298","-41.00434","43.71077","0.2609122","107.0715","24.26461","4.853707","143.4237","0","17.98976","84.59777","84.59777","0","94.04382","80","0","5.36","328.6416","76.22138","0","0","250.4952","37.0715","35.21792","0","0","0","483.661","0","0","0","950","100","0.1078081","150","3.232394","324.1737","0","164.7694","85.6572","1000142","670.7325"
"1/1/2007 10:00:00 AM","0.05440537","37.56002","-27.21971","32.27547","0.05266096","22.03209","19.25013","5.561067","223.0358","0","17.98976","79.31491","79.31491","0","93.2283","80","0","5.36","322.5432","75.97985","0","0","245.0678","0","0","50.49254","47.96791","0","483.661","0","0","0","950","100","0.1078081","150","3.232394","322.0461","0","198.7643","17.62567","1000222","585.6931"
"1/1/2007 11:00:00 AM","0.04282225","41.98093","-10.18276","24.42156","0.04140707","17.34155","18.98052","6.432499","264.5","0","17.98976","110.6405","110.6405","0","98.42955","80","0","5.36","359.07","78.49208","0","0","281.8416","0","0","55.42995","52.65845","0","483.661","0","0","0","950","100","0.1078081","150","3.232394","319.9185","0","253.9545","13.87324","1000264","581.0026"
"1/1/2007 12:00:00 PM","0.2359408","42.19135","8.437174","24.00388","0.2310687","95.09056","23.54302","5.413733","204.9397","0","17.98976","137.8336","137.8336","0","90.94212","80","0","5.36","378.7757","79.21053","0","0","300.0302","25.09056","23.83603","0","0","0","483.661","0","0","0","950","100","0.1078081","150","3.232394","317.7909","0","254.0867","76.07245","1000204","658.7516"
"1/1/2007 1:00:00 PM","0.1986556","38.13986","25.72861","31.32235","0.1941042","80.15519","22.65065","4.737387","131.9941","0","17.98976","96.58208","96.58208","0","45.05946","80","0","5.36","291.6415","72.74317","0","0","212.1493","10.15519","9.647429","0","0","0","483.661","0","0","0","950","100","0.1078081","150","3.232394","315.6633","0","172.2374","64.12415","1000131","643.8162"
"1/1/2007 2:00:00 PM","0.07735354","30.69635","39.83995","42.54206","0.07509114","31.35189","19.7879","5.702379","236.2355","0","17.98976","70.90215","70.90215","0","124.6511","80","0","5.36","345.5533","77.43737","0","0","267.5874","0","0","40.68222","38.64811","0","483.661","0","0","0","950","100","0.1078081","150","3.232394","313.5357","0","196.1101","25.08152","1000235","595.0129"
"1/1/2007 3:00:00 PM","0.03912026","20.95422","50.7124","55.31258","0.0379539","15.90034","18.89783","4.830026","141.0968","0","17.98976","41.36357","41.36357","0","0","0","0","0","152.0105","103.2805","0","0","156.9972","0","0","99.73326","94.7466","0","483.661","0","0","0","950","100","0.1078081","110.6469","2.384364","315.92","0","116.0483","12.72027","141.0968","499.5614"
"1/1/2007 4:00:00 PM","0.05362431","9.75306","59.07526","68.73778","0.05341089","22.34431","19.2681","5.179596","176.1818","0","17.98976","72.9031","72.9031","0","53.11482","80","0","5.36","276.0179","71.92508","0","0","198.5261","0","0","50.16389","47.65569","0","483.661","0","0","0","950","100","0.1078081","150","3.232394","313.7924","0","168.2843","17.87545","1000175","586.0054"
"1/1/2007 5:00:00 PM","0.007399296","0","65.68027","90","0","0","17.98976","4.394847","101.1527","0","17.98976","92.37074","92.37074","0","0","80","0","5.36","180.7136","55.97403","0","0","101.1527","0","0","8.781931","8.342834","0","483.661","0","0","0","950","100","0.1078081","88.34283","1.903726","310.3362","0","152.1842","0","1000100","563.661"
"1/1/2007 6:00:00 PM","0","0","71.09799","90","0","0","17.98976","4.475842","108.3153","0","17.98976","211.115","211.115","26.79969","0","80","0","5.36","211.115","51.3063","0","0","108.3153","80","76","0","0","0","483.661","0","0","0","950","100","0.1078081","0","0","304.9762","0","286.3841","0","1000107","563.661"
"1/1/2007 7:00:00 PM","0","0","75.73731","90","0","0","17.98976","4.691756","127.5104","0","17.98976","182.2401","182.2401","0","0","80","0","5.36","204.6299","62.3127","0","0","127.5104","57.6102","54.72969","0","0","0","483.661","0","0","0","950","100","0.1078081","22.3898","0.4824845","300.0986","0","264.2193","0","1000126","563.661"
"1/1/2007 8:00:00 PM","0","0","79.91288","90","0","0","17.98976","2.674587","4.185554","0","17.98976","132.8871","132.8871","52.70156","0","80","0","5.36","132.8871","3.149706","0","0","4.185554","80","76","0","0","0","483.661","0","0","0","950","100","0.1078081","0","0","294.7386","0","148.2686","0","1000003","563.661"
"1/1/2007 9:00:00 PM","0","0","83.94031","90","0","0","17.98976","1.916906","0","0","17.98976","98.86373","98.86373","22.86373","0","80","0","5.36","98.86373","0","0","0","0","80","76","0","0","0","483.661","0","0","0","950","100","0.1078081","0","0","289.3786","0","108.7501","0","999999","563.661"
"1/1/2007 10:00:00 PM","0","0","88.42009","90","0","0","17.98976","2.139456","0","0","17.98976","44.69122","44.69122","0","0","80","0","5.36","77.64783","0","0","0","0","47.04339","44.69122","0","0","0","483.661","0","0","0","950","100","0.1078081","32.95661","0.7101917","284.7288","0","49.16035","0","999999","563.661"
"1/1/2007 11:00:00 PM","0","0","97.2543","90","0","0","17.98976","1.318807","0","0","17.98976","33.21299","33.21299","0","0","80","0","5.36","78.25195","0","0","0","0","34.96104","33.21299","0","0","0","483.661","0","0","0","950","100","0.1078081","45.03896","0.9705577","280.3394","0","36.53429","0","999999","563.661"
"1/2/2007 12:00:00 AM","0","0","-100.2478","90","0","0","17.98976","1.176153","0","0","17.98976","19.12188","19.12188","0","0","80","0","5.36","78.99358","0","0","0","0","20.12829","19.12188","0","0","0","483.661","0","0","0","950","100","0.1078081","59.87171","1.290193","276.2696","0","21.03407","0","999999","563.661"
"1/2/2007 1:00:00 AM","0","0","-89.18402","90","0","0","17.98976","0.2300999","0","0","17.98976","13.54593","13.54593","0","0","80","0","5.36","79.28706","0","0","0","0","14.25888","13.54593","0","0","0","483.661","0","0","0","950","100","0.1078081","65.74112","1.416675","272.3263","0","14.90053","0","999999","563.661"
"1/2/2007 2:00:00 AM","0","0","-84.49529","90","0","0","17.98976","0.928623","0","0","17.98976","5.714063","5.714063","0","0","80","0","5.36","79.69926","0","0","0","0","6.014803","5.714063","0","0","0","483.661","0","0","0","950","100","0.1078081","73.9852","1.594329","268.5606","0","6.285469","0","999999","563.661"
"1/2/2007 3:00:00 AM","0","0","-80.42596","90","0","0","17.98976","1.519","0","0","17.98976","19.14371","19.14371","0","0","80","0","5.36","78.99244","0","0","0","0","20.15128","19.14371","0","0","0","483.661","0","0","0","950","100","0.1078081","59.84872","1.289698","264.4903","0","21.05809","0","999999","563.661"
"1/2/2007 4:00:00 AM","0","0","-76.26443","90","0","0","17.98976","1.474783","0","0","17.98976","37.81755","37.81755","0","0","80","0","5.36","78.00961","0","0","0","0","39.80794","37.81755","0","0","0","483.661","0","0","0","950","100","0.1078081","40.19206","0.8661106","259.9964","0","41.5993","0","999999","563.661"
"1/2/2007 5:00:00 AM","0","0","-71.67693","90","0","0","17.98976","1.790733","0","0","17.98976","66.32317","66.32317","0","0","80","0","5.36","76.50931","0","0","0","0","69.81386","66.32317","0","0","0","483.661","0","0","0","950","100","0.1078081","10.18614","0.2195042","254.8559","0","72.95548","0","999999","563.661"
"1/2/2007 6:00:00 AM","0.002319367","0","-66.35047","90","0","0","17.98976","2.683536","4.51967","0","17.98976","61.18219","61.18219","0","0","80","0","5.36","81.53743","5.543061","0","0","4.51967","59.64476","56.66252","0","0","0","483.661","0","0","0","950","100","0.1078081","20.35525","0.4386412","249.9345","0","69.56024","0","1000004","563.661"
"1/2/2007 7:00:00 AM","0.08512632","8.582762","-59.88722","70.12432","0.1078871","44.90923","20.5752","4.091833","77.34042","0","17.98976","67.65493","67.65493","0","0.000000000000008881784","80","0","5.36","201.7654","60.59","0","0","122.2496","0","0","9.685481","9.201207","0","483.661","0","0","0","950","100","0.1078081","134.1104","2.889986","247.4645","0","113.0906","35.92739","1000076","608.5703"
"1/2/2007 8:00:00 AM","0.228276","19.90728","-51.73377","56.64816","0.2799255","114.6684","24.72485","4.464624","107.3233","0","17.98976","54.55262","54.55262","0","95.20571","80","0","5.36","299.7583","74.05691","0","0","221.9918","44.66843","42.43501","0","0","0","483.661","0","0","0","950","100","0.1078081","150","3.232394","245.3369","0","113.6695","91.73475","1000106","678.3295"
"1/2/2007 9:00:00 AM","0.4074781","29.84181","-41.1509","43.77072","0.5284019","211.3503","30.77728","5.016397","159.4095","0","17.98976","56.66994","56.66994","0","237.0224","80","0","5.36","443.6923","83.56237","0","0","370.7598","141.3503","134.2828","0","0","0","483.661","0","0","0","950","100","0.1078081","150","3.232394","243.2093","0","142.0417","169.0802","1000158","775.0114"
"1/2/2007 10:00:00 AM","0.6400087","37.57903","-27.37891","32.30222","0.872857","337.2744","39.28505","6.476427","264.5","0","17.98976","51.12205","51.12205","0","467.2886","80","0","5.36","668.4106","90.03064","0","0","601.7744","267.2744","253.9106","0","0","0","483.661","0","0","0","950","100","0.1078081","150","3.232394","241.0817","0","188.4843","269.8195","1000264","900.9354"
"1/2/2007 11:00:00 AM","0.7970054","42.03572","-10.33785","24.38805","1.075822","406.982","44.36326","5.348646","196.9453","0","17.98976","63.36145","63.36145","0","426.5621","51.41612","0","3.44488","639.9236","94.37492","0","0","603.9274","308.3982","292.9782","0","0","0","483.661","0","0","0","950","100","0.1078081","150","3.232394","240.8692","0","168.1703","325.5856","1000196","970.6431"
"1/2/2007 12:00:00 PM","0.8160912","42.27983","8.312965","23.90281","1.101344","415.5084","45.00528","4.846619","142.7272","0","17.98976","105.9522","105.9522","0","329.7532","42.88976","0","2.873614","585.7054","95.30995","0","0","558.2356","308.3982","292.9782","0","0","0","483.661","0","0","0","950","100","0.1078081","150","3.232394","241.228","0","187.911","332.4067","1000142","979.1694"
"1/2/2007 1:00:00 PM","0.698619","38.2515","25.64996","31.19628","0.9555213","366.0712","41.34743","6.768266","264.5","0","17.98976","93.92926","93.92926","0","451.8383","80","0","5.36","695.7676","90.62957","0","0","630.5712","296.0712","281.2676","0","0","0","483.661","0","0","0","950","100","0.1078081","150","3.232394","239.1004","0","235.5722","292.8569","1000264","929.7322"
"1/2/2007 2:00:00 PM","0.6386462","30.81959","39.80145","42.41566","0.9128553","351.2775","40.28195","6.411831","264.5","0","17.98976","74.72899","74.72899","0","456.9846","80","0","5.36","681.7136","90.32789","0","0","615.7775","281.2775","267.2137","0","0","0","483.661","0","0","0","950","100","0.1078081","150","3.232394","236.9728","0","214.4519","281.022","1000264","914.9385"
"1/2/2007 3:00:00 PM","0.374963","21.08146","50.70205","55.19152","0.5805157","231.0105","32.05562","5.409942","204.4739","0","17.98976","53.70129","53.70129","0","303.7326","80","0","5.36","507.4339","85.82092","0","0","435.4844","161.0105","152.9599","0","0","0","483.661","0","0","0","950","100","0.1078081","150","3.232394","234.8452","0","161.3084","184.8084","1000204","794.6715"
"1/2/2007 4:00:00 PM","0.1014994","9.880389","59.08384","68.62312","0.1288834","53.5454","21.07986","6.172676","264.5","0","17.98976","63.83631","63.83631","0","183.3431","80","0","5.36","397.1794","80.07601","0","0","318.0454","0","0","17.32063","16.4546","0","483.661","0","0","0","950","100","0.1078081","150","3.232394","232.7176","0","202.4699","42.83632","1000264","617.2064"
"1/2/2007 5:00:00 PM","0.00798979","0","65.70274","90","0","0","17.98976","5.183577","176.6707","0","17.98976","112.5312","112.5312","0","0.00000000000001421085","80","0","5.36","253.4637","69.70256","0","0","176.6707","0","0","64.13949","60.93251","0","483.661","0","0","0","950","100","0.1078081","140.9325","3.036996","230.3946","0","212.1197","0","1000176","563.661"
"1/2/2007 6:00:00 PM","0","0","71.13266","90","0","0","17.98976","3.875729","63.53811","0","17.98976","117.0399","117.0399","0","0","80","0","5.36","140.7222","45.15144","0","0","63.53811","56.31766","53.50178","0","0","0","483.661","0","0","0","950","100","0.1078081","23.68234","0.5103377","225.5449","0","160.5129","0","1000063","563.661"
"1/2/2007 7:00:00 PM","0","0","75.78536","90","0","0","17.98976","3.787115","57.87847","0","17.98976","130.146","130.146","0","0","80","0","5.36","134.0749","43.16875","0","0","57.87847","76.07111","72.26756","0","0","0","483.661","0","0","0","950","100","0.1078081","3.928892","0.08466487","220.2696","0","172.0999","0","1000057","563.661"
"1/2/2007 8:00:00 PM","0","0","79.97915","90","0","0","17.98976","3.945546","67.99725","0","17.98976","99.45515","99.45515","0","0","80","0","5.36","146.3416","46.46475","0","0","67.99725","33.11358","31.4579","0","0","0","483.661","0","0","0","950","100","0.1078081","46.88642","1.010369","215.92","0","143.3993","0","1000067","563.661"
"1/2/2007 9:00:00 PM","0","0","84.03706","90","0","0","17.98976","2.135385","0","0","17.98976","48.77895","48.77895","0","0","80","0","5.36","77.43269","0","0","0","0","51.34627","48.77895","0","0","0","483.661","0","0","0","950","100","0.1078081","28.65373","0.6174678","211.1774","0","53.65685","0","999999","563.661"
"1/2/2007 10:00:00 PM","0","0","88.58292","90","0","0","17.98976","0.9421732","0","0","17.98976","33.29918","33.29918","0","0","80","0","5.36","78.24741","0","0","0","0","35.05177","33.29918","0","0","0","483.661","0","0","0","950","100","0.1078081","44.94823","0.9686027","206.786","0","36.6291","0","999999","563.661"
"1/2/2007 11:00:00 PM","0","0","97.65554","90","0","0","17.98976","1.4526","0","0","17.98976","34.11079","34.11079","0","0","80","0","5.36","78.2047","0","0","0","0","35.9061","34.11079","0","0","0","483.661","0","0","0","950","100","0.1078081","44.0939","0.9501926","202.3762","0","37.52187","0","999999","563.661"
"1/3/2007 12:00:00 AM","0","0","-101.1989","90","0","0","17.98976","0.7009541","0","0","17.98976","21.26595","21.26595","0","0","80","0","5.36","78.88074","0","0","0","0","22.38521","21.26595","0","0","0","483.661","0","0","0","950","100","0.1078081","57.61479","1.241558","198.2578","0","23.39255","0","999999","563.661"
"1/3/2007 1:00:00 AM","0","0","-89.46332","90","0","0","17.98976","0.1664194","0","0","17.98976","13.5924","13.5924","0","0","80","0","5.36","79.28461","0","0","0","0","14.30779","13.5924","0","0","0","483.661","0","0","0","950","100","0.1078081","65.69221","1.415621","194.3134","0","14.95164","0","999999","563.661"
"1/3/2007 2:00:00 AM","0","0","-84.67161","90","0","0","17.98976","0.9102055","0","0","17.98976","14.47698","14.47698","0","0","80","0","5.36","79.23805","0","0","0","0","15.23892","14.47698","0","0","0","483.661","0","0","0","950","100","0.1078081","64.76108","1.395556","190.3489","0","15.92467","0","999999","563.661"
"1/3/2007 3:00:00 AM","0","0","-80.56445","90","0","0","17.98976","1.409292","0","0","17.98976","21.05285","21.05285","0","0","80","0","5.36","78.89195","0","0","0","0","22.16089","21.05285","0","0","0","483.661","0","0","0","950","100","0.1078081","57.83911","1.246392","186.2353","0","23.15813","0","999999","563.661"
