voltage_rms_V,current_rms_A,frequency_Hz,temperature_C,irradiance_Wm2,harmonic_3rd_pct,harmonic_5th_pct,harmonic_7th_pct,THD_voltage_pct,THD_current_pct,sensor_fault_flag,disturbance_type,disturbance_label,battery_degradation_rate,battery_capacity_loss_pct,economic_cost_BDT
229.78,14.44,50.01,14.79,0,2.1,0.41,0.83,2.3,2.79,0,None,0,0.00296,0.0001,4.44
229.95,14.52,50.008,14.27,0,2.01,0.78,1.01,2.38,2.31,0,None,0,0.00283,0.0001,4.25
230.1,14.47,49.972,14.89,0,1.74,0.97,0.69,2.11,2.33,0,None,0,0.00357,0.0002,5.36
231.42,14.71,50.017,15.58,0,2,1.26,0.54,2.42,2.52,0,None,0,0.00422,0.0003,6.33
228.88,15.08,49.955,14.16,29.3,2.29,1.61,0.33,2.82,3.62,0,None,0,0.00579,0.0004,8.68
228.73,14.38,49.98,14.15,0,1.92,1.48,0.57,2.49,3.09,0,None,0,0.0043,0.0005,6.45
231.85,0,49.94,15.6,41.9,2.25,0.73,0.65,2.45,3.05,1,None,0,0.00666,0.0006,9.99
229.31,14.49,50.047,14.94,19.5,1.5,1.05,0.23,1.85,2.01,0,None,0,0.00464,0.0007,6.95
228.11,14.34,49.993,13.94,0,1.64,1.23,0.83,2.21,2.25,0,None,0,0.00379,0.0008,5.69
229.27,14.88,50.065,14.74,0,1.56,1.1,0.49,1.97,2.22,0,None,0,0.00569,0.0009,8.54
229.5,15.13,50.024,13.92,63.9,1.66,1.09,0.82,2.15,1.89,0,None,0,0.00368,0.001,5.51
232.33,14.97,50.013,13.91,29.3,2.77,0.51,0.6,2.88,3.58,0,None,0,0.00507,0.0011,7.61
231.39,14.23,49.982,14.47,0,2.44,0.74,0.67,2.63,2.46,0,None,0,0.00442,0.0012,6.63
231.72,14.4,49.969,12.74,0,1.35,1.04,0.42,1.76,2.13,0,None,0,0.00445,0.0012,6.68
231.23,14.79,50.016,12.88,0,2.26,0.04,0.51,2.32,2.2,0,None,0,0.00391,0.0013,5.86
231.42,14.6,49.998,13.8,0,1.77,1.46,0.76,2.41,2.56,0,None,0,0.00344,0.0014,5.17
228.97,14.25,49.96,13.43,0,1.59,0.65,0.57,1.81,2.15,0,None,0,0.00449,0.0015,6.74
229.7,15.09,49.954,14.49,81.7,1.11,1.47,0.32,1.87,1.87,0,None,0,0.00434,0.0016,6.51
228.52,14.39,49.971,13.5,6.2,2.58,1.44,0.63,3.02,2.96,0,None,0,0.00543,0.0017,8.14
229.68,15.16,50.055,13.09,15.9,1.18,0.98,0.7,1.69,2.1,0,None,0,0.00462,0.0018,6.94
231.03,15.13,50.066,15.39,0,1.97,1.6,0.94,2.71,2.26,0,None,0,0.0067,0.0019,10.04
230.2,14.78,50.006,14.03,0,1.43,1.5,0.89,2.25,2.75,0,None,0,0.00269,0.002,4.04
231.97,15.02,50.004,14.25,0,2.47,1.08,0.58,2.75,3.48,0,None,0,0.00426,0.002,6.39
228.29,14.57,49.99,13.05,0,1.8,1.03,0.46,2.13,2.3,0,None,0,0.00375,0.0021,5.62
230.75,15.18,49.972,13.75,91.1,1.92,1.64,0.54,2.58,2.96,0,None,0,0.00447,0.0022,6.71
228.13,15.06,50.041,14.27,0,1.94,1.29,0.47,2.38,2.93,0,None,0,0.00566,0.0023,8.49
230.14,14.64,50.056,13.25,0,2.18,1.62,0.73,2.81,2.86,0,None,0,0.00571,0.0024,8.57
231.11,14.55,49.973,14.47,0,2.01,0.24,0.86,2.2,2.72,0,None,0,0.00426,0.0025,6.39
229.68,14.28,49.998,13.68,51.5,1.97,1.24,0.91,2.5,2.47,0,None,0,0.00284,0.0026,4.25
230.83,14.57,49.987,13.92,0,1.69,0.57,0.5,1.85,1.76,0,None,0,0.00306,0.0026,4.6
228.56,14.83,49.987,13.67,0,1.06,1.19,0.47,1.66,2.14,0,None,0,0.00323,0.0027,4.84
227.5,15.17,50.036,15.62,50.2,1.33,1.49,0.49,2.05,1.67,0,None,0,0.00546,0.0028,8.19
230.84,14.87,49.961,14.12,29.2,2.43,1.9,0.12,3.09,2.96,0,None,0,0.0056,0.0029,8.4
232.62,14.49,50.014,13.28,21.5,1.82,0.82,0.3,2.02,2.08,0,None,0,0.00442,0.003,6.63
228.51,14.16,50.022,14.78,28.6,1.6,0.99,0.59,1.97,1.89,0,None,0,0.00404,0.0031,6.06
231.83,14.79,49.996,13.14,95.8,1.16,1.16,0.69,1.78,1.68,0,None,0,0.00319,0.0032,4.78
230.07,14.87,50.027,14.28,87.4,0.97,0.81,0.72,1.45,1.43,0,None,0,0.00284,0.0032,4.26
228,14.43,50.004,12.54,0,1.58,1.59,0.4,2.28,2.28,0,None,0,0.00381,0.0033,5.71
407.51,15,50.037,13.04,65,2.53,1.17,0.48,2.83,2.37,1,None,0,0.12043,0.0057,180.64
230.02,15.27,49.954,14.26,15.3,1.67,1.25,0.53,2.15,2.55,0,None,0,0.00445,0.0058,6.67
229.39,14.75,49.99,14.69,20,2.24,1.45,0.5,2.71,2.4,0,None,0,0.00363,0.0059,5.45
228.03,14.55,49.998,14.23,0,1.64,1.17,0.77,2.16,1.77,0,None,0,0.00355,0.0059,5.32
227.46,14.52,49.92,13.99,0,2.38,0.87,0.27,2.55,2.8,0,None,0,0.00822,0.0061,12.33
228.73,14.63,49.967,13.84,0,1.79,1.17,0.31,2.16,2.45,0,None,0,0.00462,0.0062,6.93
230.29,14.43,49.976,12.9,33.1,1.26,0.86,0.53,1.61,1.9,0,None,0,0.00302,0.0062,4.53
229.99,14.78,50.028,13.5,42.8,1.84,1.24,0.26,2.23,1.89,0,None,0,0.00366,0.0063,5.49
229.25,14.72,49.979,13.7,0,3.1,1.6,0.12,3.49,3.09,0,None,0,0.00504,0.0064,7.56
230.3,14.71,49.975,14.91,0,3.07,0.73,0.23,3.17,2.82,0,None,0,0.00459,0.0065,6.89
231.56,14.93,50.025,14.34,44.9,2.29,0.59,0.54,2.43,2.66,0,None,0,0.00467,0.0066,7.01
230.59,14.66,49.951,12.65,0,1.92,1.22,0.76,2.4,2.98,0,None,0,0.00521,0.0067,7.81
229.82,14.2,49.938,14.32,29.2,2.18,0.89,0.76,2.48,2.86,0,None,0,0.0057,0.0068,8.56
231.39,14.83,49.989,13.75,14,2.19,1.21,1,2.69,2.58,0,None,0,0.00414,0.0069,6.22
181.56,14.43,49.957,13.51,5.3,1.98,1.33,0.63,2.46,3.02,0,Voltage_Sag,1,0.03622,0.0076,54.33
182.44,14.3,49.958,14.54,0,2.26,0.34,0.66,2.38,2.7,0,Voltage_Sag,1,0.03552,0.0083,53.28
182.47,14.31,50.017,14.87,0,2.12,1.48,0.54,2.64,3.02,0,Voltage_Sag,1,0.0345,0.009,51.75
181.23,14.77,50.026,14.79,0,1.81,0.73,0.55,2.03,2.59,0,Voltage_Sag,1,0.03515,0.0097,52.72
182.21,14.62,50.024,13.37,11,1.28,1.19,1.12,2.08,2.65,0,Voltage_Sag,1,0.03443,0.0104,51.65
180.23,14.09,50.033,13.79,0,1.72,0.94,0.67,2.07,2.06,0,Voltage_Sag,1,0.03619,0.0111,54.29
184.98,14.76,50.037,14.31,0,2.48,0.98,0.69,2.75,3.08,0,Voltage_Sag,1,0.03397,0.0118,50.96
181.59,14.21,49.936,14.82,0,1.98,1.88,0.31,2.75,2.48,0,Voltage_Sag,1,0.03751,0.0126,56.27
184.6,14.62,50.014,13.65,0,2.18,1.33,0.7,2.65,2.66,0,Voltage_Sag,1,0.03293,0.0132,49.4
230.06,14.83,49.984,13.89,41.9,1.83,1.56,0.76,2.52,2.36,0,None,0,0.00336,0.0133,5.03
230.85,14.82,49.978,13.15,0,1.36,1.26,0.88,2.05,2.02,0,None,0,0.00373,0.0134,5.59
229.27,15.09,50.017,13.08,0,1.86,1.45,0.76,2.47,2.81,0,None,0,0.00379,0.0135,5.69
230.31,14.34,49.948,14.68,29.7,1.39,1.37,0.57,2.03,1.84,0,None,0,0.00483,0.0135,7.24
230.98,14.64,49.947,15.12,0,1.35,1.3,0.56,1.96,1.74,0,None,0,0.00522,0.0137,7.83
231,14.52,50.019,13.97,0,2.72,1.64,0.58,3.23,3.2,0,None,0,0.00483,0.0137,7.25
231.16,15.03,50.015,14.83,64.3,1.75,1.26,0.63,2.25,1.91,0,None,0,0.00374,0.0138,5.6
229.45,14.68,50.004,14.32,0,1.56,2.11,0.92,2.78,3.36,0,None,0,0.00335,0.0139,5.02
229.28,14.52,49.974,13.51,11.6,2.97,1.58,0.87,3.48,4.45,0,None,0,0.00527,0.014,7.9
227.61,14.48,50.022,14.32,0,2.49,0.74,0.79,2.71,3.26,0,None,0,0.00539,0.0141,8.09
230.78,14.33,50.02,15.26,0,1.78,1.13,1.11,2.38,2.54,0,None,0,0.00391,0.0142,5.87
231.62,14.99,50.003,14,24.4,2.26,1.36,0.06,2.63,3,0,None,0,0.00382,0.0143,5.73
232.42,14.8,49.965,15.28,0,1.86,1.22,0.48,2.27,2.74,0,None,0,0.00562,0.0144,8.43
230.46,14.8,49.987,11.94,8,1.58,1.47,0.6,2.25,1.87,0,None,0,0.00318,0.0144,4.77
228.85,14.54,50.025,14.69,0,2.28,1.52,0.43,2.78,2.8,0,None,0,0.00478,0.0145,7.18
227.45,14.41,50.04,14.1,0,1.81,0.66,0.37,1.96,1.71,0,None,0,0.00561,0.0146,8.41
231.56,14.43,49.99,13.8,41.5,2.05,1.71,0.17,2.67,2.26,0,None,0,0.00418,0.0147,6.27
