timestamp,hour_of_day,day_of_year,irradiance_Wpm2,ambient_T_C,humidity_pct,wind_speed_mps,V_rms_a_V,V_rms_b_V,V_rms_c_V,V_unbalance_pct,I_rms_a_A,I_rms_b_A,I_rms_c_A,I_neutral_A,P_active_kW,Q_reactive_kVAR,S_apparent_kVA,power_factor,freq_Hz,freq_dev_Hz,RoCoF_Hz_per_s,V_THD_pct,I_THD_pct,harm_5th_pct,harm_7th_pct,harm_11th_pct,harm_13th_pct,PV_kW,wind_kW,RE_penetration_pct,batt_SOC_pct,batt_SOH_pct,batt_V_V,batt_I_A,batt_T_C,batt_P_kW,load_kW,nonlinear_load_frac,grid_connected,APF_on,ESS_on,AI_control_on,fault_flag,operating_scenario,IEEE_519_compliance,stability_label,energy_cost_BDT,cum_cost_BDT,source
2026-06-01 00:00:00,0.0,152,92.4,32.52,81.3,6.21,229.37,227.14,233.04,1.387,98.141,94.176,92.545,-0.627,33.854,16.308,37.578,0.901,50.0303,0.0303,-0.00069,0.354,0.774,0.483,0.275,0.113,0.212,0.0,0.0,0.0,61.18,99.985,405.59,16.694,37.56,6.771,33.82,0.1,True,False,False,False,False,base_case_no_RE,PASS,0,6.771,6.77,SYNTHETIC_GENERATOR_v1
2026-06-01 00:01:00,0.016666666666666666,152,0.0,33.33,66.6,7.01,227.71,231.97,226.5,1.41,99.009,107.507,94.14,1.054,35.682,18.93,40.392,0.883,49.9892,-0.0108,-0.00072,2.357,4.082,2.159,1.51,0.994,0.855,0.0,2.903,7.99,55.7,99.918,402.85,17.715,39.66,7.136,36.353,0.2,True,False,False,False,False,wind_only_40pct,PASS,0,7.136,13.91,SYNTHETIC_GENERATOR_v1
2026-06-01 00:02:00,0.03333333333333333,152,48.0,34.17,43.9,5.64,229.71,230.85,232.7,0.701,101.143,94.998,100.519,1.79,38.655,11.309,40.275,0.96,49.9435,-0.0565,0.00031,0.1,0.214,-0.023,0.039,0.097,-0.03,0.625,1.128,4.84,62.46,99.996,406.23,95.155,39.17,38.655,36.248,0.55,True,True,True,True,False,AI_optimized_control,PASS,0,7.731,21.64,SYNTHETIC_GENERATOR_v1
2026-06-01 00:03:00,0.05,152,42.1,34.09,43.5,6.2,231.31,229.15,230.36,0.487,103.857,97.967,105.852,1.608,35.411,18.039,39.741,0.891,50.0264,0.0264,0.00049,1.868,3.23,1.703,1.3,0.765,0.573,0.271,0.738,2.82,52.76,99.935,401.38,17.645,39.92,7.082,35.767,0.2,True,False,False,False,False,hybrid_PV_wind_30pct,PASS,0,7.082,28.72,SYNTHETIC_GENERATOR_v1
2026-06-01 00:04:00,0.06666666666666667,152,0.0,33.17,45.3,6.3,227.24,228.49,231.8,1.143,105.069,113.939,106.985,0.438,40.036,18.099,43.937,0.911,50.0018,0.0018,0.00015,2.505,4.315,2.308,1.812,0.91,0.914,0.0,2.293,5.8,54.9,99.914,402.45,19.896,39.66,8.007,39.544,0.2,True,False,False,False,False,wind_only_40pct,PASS,0,8.007,36.73,SYNTHETIC_GENERATOR_v1
2026-06-01 00:05:00,0.08333333333333333,152,0.0,33.64,42.9,6.47,159.51,164.96,161.1,1.349,121.131,124.653,121.372,0.985,44.437,17.503,47.76,0.93,50.0449,0.0449,-0.00015,2.062,3.328,1.761,1.324,0.773,0.629,0.0,1.347,3.13,56.15,99.933,403.07,22.049,39.53,8.887,42.984,0.15,True,False,False,False,False,wind_only_20pct,PASS,0,8.887,45.62,SYNTHETIC_GENERATOR_v1
2026-06-01 00:06:00,0.1,152,0.0,33.62,74.5,7.85,232.21,232.64,231.96,0.16,120.112,120.78,115.842,0.096,43.226,19.7,47.503,0.91,49.9835,-0.0165,-0.00053,1.955,2.586,1.7,1.224,0.606,0.451,0.0,0.0,0.0,59.7,99.948,404.85,21.354,39.16,8.645,42.753,0.15,True,False,False,False,False,PV_only_20pct,PASS,0,8.645,54.26,SYNTHETIC_GENERATOR_v1
2026-06-01 00:07:00,0.11666666666666667,152,0.0,34.73,59.1,7.72,232.01,226.47,233.53,1.825,112.25,106.224,103.146,0.69,31.349,27.206,41.508,0.755,49.9817,-0.0183,-3e-05,4.064,6.38,3.74,2.303,1.411,1.077,0.0,2.485,6.65,45.96,99.872,397.98,15.754,42.99,6.27,37.357,0.55,True,False,False,False,False,hybrid_with_nonlinear_loads,MARGINAL,0,6.27,60.53,SYNTHETIC_GENERATOR_v1
2026-06-01 00:08:00,0.13333333333333333,152,0.0,32.93,67.4,4.35,225.78,230.11,230.48,1.308,129.702,129.831,128.312,-0.19,44.644,24.853,51.096,0.874,49.98,-0.02,0.00013,2.311,4.37,2.219,1.733,0.908,0.63,0.0,0.878,1.91,64.1,99.913,407.05,21.936,39.46,8.929,45.986,0.2,True,False,False,False,False,wind_only_40pct,PASS,0,8.929,69.46,SYNTHETIC_GENERATOR_v1
2026-06-01 00:09:00,0.15,152,32.0,33.52,72.6,6.56,230.65,226.21,232.59,1.568,114.71,115.621,114.689,0.494,37.688,24.11,44.74,0.842,49.9971,-0.0029,0.00049,1.738,2.171,1.589,0.888,0.472,0.488,0.388,1.647,5.05,61.62,99.957,405.81,18.574,38.9,7.538,40.266,0.25,True,False,False,False,False,hybrid_PV_wind_50pct,PASS,0,7.538,77.0,SYNTHETIC_GENERATOR_v1
2026-06-01 00:10:00,0.16666666666666666,152,0.0,33.13,46.4,4.91,225.46,229.02,229.46,1.097,109.295,110.231,108.171,0.353,38.196,21.952,44.055,0.867,50.0383,0.0383,7e-05,2.405,3.875,2.099,1.383,0.748,0.565,0.0,1.087,2.74,62.5,99.923,406.25,18.804,39.33,7.639,39.649,0.2,True,False,False,False,False,wind_only_40pct,PASS,0,7.639,84.64,SYNTHETIC_GENERATOR_v1
