model,seed,acc,f1_macro,f1_FAIL,f1_MARGINAL,f1_PASS
LogReg,0,0.9969,0.9874239115896506,0.9727272727272728,0.9907157831686133,0.9988286788730658
RF,0,0.9982,0.9956267003789624,0.9931972789115646,0.9946075494307969,0.9990752727945256
HistGB,0,0.9975,0.9926478764146189,0.9866071428571429,0.9925082409349716,0.9988282454517422
MLP,0,0.9908,0.9673618166445066,0.9333333333333333,0.9727002967359051,0.9960518198642813
XGBoost,0,0.9976,0.9942054691684511,0.9910313901345291,0.992818671454219,0.998766345916605
LogReg,1,0.9965,0.987678653681496,0.9749430523917996,0.9895740244265714,0.998518884226117
RF,1,0.9981,0.9926343249031628,0.9843400447427293,0.9943028485757122,0.9992600813910469
HistGB,1,0.998,0.9918563298122486,0.9823008849557522,0.994008388256441,0.9992597162245528
MLP,1,0.9926,0.9750464701132896,0.9504504504504504,0.9778972520908005,0.9967917077986179
XGBoost,1,0.9988,0.9971041146701864,0.9955156950672646,0.9964136282127914,0.9993830207305034
LogReg,42,0.998,0.9901637462084648,0.9770642201834863,0.9940440738534843,0.999382944588424
RF,42,0.9984,0.9913684409467699,0.9793103448275862,0.9952267303102625,0.999568247702461
HistGB,42,0.9985,0.9930282904827741,0.9840546697038725,0.9955237242614146,0.9995064774830351
MLP,42,0.9905,0.9660722599574739,0.930648769574944,0.9715142428785607,0.9960537674189173
XGBoost,42,0.9987,0.9932448088378002,0.9839816933638444,0.99612287503728,0.9996298581122763
LogReg,123,0.9964,0.9897580550896145,0.9817351598173516,0.9892665474060823,0.9982724580454096
RF,123,0.9979,0.9937782851009275,0.9886104783599089,0.9937106918238994,0.9990136851189743
HistGB,123,0.9982,0.9971029907117313,0.9977528089887641,0.9946043165467626,0.9989518465996671
MLP,123,0.9927,0.9786788089590512,0.9612756264236902,0.9782154580722172,0.9965453423812461
XGBoost,123,0.998,0.9968654898135422,0.9977528089887641,0.9940155595451825,0.9988281009066798
LogReg,2026,0.9958,0.9898194326845605,0.9841986455981941,0.987417615338526,0.9978420371169616
RF,2026,0.9981,0.9969786359971478,0.9977426636568849,0.9943028485757122,0.998890395758846
HistGB,2026,0.9975,0.9933767315941265,0.9888641425389755,0.9924992499249925,0.9987668023184116
MLP,2026,0.9922,0.9726886555531746,0.9448123620309051,0.9765201685731487,0.9967334360554699
XGBoost,2026,0.9978,0.9958959243883508,0.9955156950672646,0.9934052757793765,0.9987668023184116
