cost_kWh,base_fade,cost_BDT_yr,SoH_loss_final_pct
26629.97806613725,8.887695482371768e-07,33226.98244230682,1.97826055071659e-07
23413.2330216197,9.509844563395095e-07,31258.32722510912,2.1167411035318984e-07
27442.54003114927,8.002371795847495e-07,30830.030810654625,1.7812014900028362e-07
25894.733078969894,6.860472008164002e-07,24939.995029905203,1.527032644172513e-07
20104.102539721436,6.444596120666245e-07,18189.10472484436,1.434465244235956e-07
28565.974575712855,7.134899295996337e-07,28613.291565119864,1.5881158213173178e-07
26506.941139107388,6.821831096916867e-07,25385.83794521562,1.5184317880208123e-07
26746.217330658757,8.568507755561144e-07,32173.513505801104,1.9072144072618767e-07
20429.89087368524,6.7898640148113e-07,19474.129358882707,1.511316420760945e-07
23523.705003797444,8.020255781186025e-07,26486.518145917493,1.7851821824956297e-07
22759.66103263278,8.621639794057236e-07,27547.77906599368,1.9190407593173106e-07
28096.943892946576,8.259573149506887e-07,32579.740081647567,1.8384504464443004e-07
25381.10515277438,7.039282085312184e-07,25082.442459648744,1.566832941380542e-07
27098.511487399966,8.97319848378324e-07,34136.865213665005,1.997292167517108e-07
23456.77630874238,8.689302814770565e-07,28614.369819635624,1.9341014783625317e-07
21381.491729133857,8.764748812529733e-07,26309.24607094364,1.9508945650937832e-07
24524.013955352013,6.819384804983402e-07,23478.35577596316,1.5178872820983174e-07
19812.645658600082,6.796012171681103e-07,18902.8612977329,1.5126849033129513e-07
27145.259251128788,9.368200163220824e-07,35701.057650900046,2.0852132986413687e-07
25263.978231571822,7.67225022023981e-07,27211.684313185597,1.7077216446075533e-07
26477.642304819587,7.363035813699007e-07,27369.51811027798,1.6388954046237273e-07
22603.449294046735,7.963468945124907e-07,25270.15674160221,1.7725423302636838e-07
28518.70103419107,8.521165480843463e-07,34116.12264795771,1.8966767651204565e-07
27773.962764693097,9.457994422550303e-07,36878.03988715728,2.105200081634178e-07
26672.481571908116,7.316627926022576e-07,27397.145822708295,1.6285657422703678e-07
21068.53159537889,9.359386973798486e-07,27682.96470749794,2.0832516219620998e-07
23680.52163577953,6.47955037243602e-07,21541.059606936124,1.4422455082529958e-07
19620.516151557396,8.176633735445839e-07,22522.463908637415,1.8199894436723293e-07
20681.17912384846,8.428720357379472e-07,24471.91010758318,1.8760999416663018e-07
25757.269951127564,6.738871692002411e-07,24367.891056147473,1.499966335600811e-07
26349.716696715044,6.84908671060452e-07,25336.087012951633,1.5244984568722402e-07
28488.093431368416,7.741165821812172e-07,30959.98080165072,1.7230611683558567e-07
22327.923438126258,9.491942118858181e-07,29753.245297618374,2.1127563023132967e-07
22756.41317793474,8.307336170349992e-07,26539.731384738756,1.8490817400236515e-07
23707.735788247755,9.385674309120675e-07,31238.23484445717,2.0891027673523268e-07
21018.925047209144,8.973954929961506e-07,26480.447053471908,1.9974605404812993e-07
20447.246451220526,7.895621124976933e-07,22664.808770122338,1.7574404777849258e-07
23766.767291768963,8.911243037607e-07,29733.040984414816,1.9835018643597073e-07
21378.329750888486,6.45707770872636e-07,19379.417177852665,1.4372434484755824e-07
25630.2143489521,6.749260789650352e-07,24285.07085728316,1.502278784545002e-07
23396.658421174376,9.054171567624756e-07,29739.48760118316,2.0153154962586517e-07
27193.71068215524,8.949814682640517e-07,34167.51885201304,1.9920873029469544e-07
25922.54497922159,7.144450374292588e-07,26000.24185867382,1.5902417403981156e-07
22198.719757267594,8.09846268991697e-07,25238.37805376688,1.8025898043749737e-07
27189.69409339393,8.339250626240035e-07,31831.87897055029,1.856185393519675e-07
26925.737831969298,9.176764652083235e-07,34688.708749742524,2.042602779363243e-07
22919.792438689674,8.329942903483922e-07,26803.01393557374,1.85411364153605e-07
21967.949797730344,7.720229021675777e-07,23809.51991520089,1.718400967536634e-07
25751.956838159764,7.597388938902984e-07,27466.63922813468,1.691058706510899e-07
20541.623842649373,7.762822676395231e-07,22386.456997894762,1.72788164191497e-07
21119.11874376104,8.486179281855917e-07,25160.479983592395,1.8888893901576305e-07
19270.677789609654,9.175970021607438e-07,24824.465317544942,2.042425907177896e-07
26754.47402402053,7.852470022644159e-07,29493.997002608132,1.747835724377914e-07
25582.56822328351,7.193086601444346e-07,25833.922787442465,1.601067395901376e-07
25969.587634812815,7.15731956159226e-07,26094.34433613878,1.5931062181027399e-07
26694.998697810894,8.787245696779027e-07,32931.658332151106,1.955902015980531e-07
23605.591445168066,9.013020042956513e-07,29868.688272260242,2.006155817237855e-07
24659.91548114778,6.7368898555332e-07,23322.86819317375,1.4995252101242735e-07
20542.051182025512,6.61298834225657e-07,19070.957190969624,1.4719466914435398e-07
20299.488705945347,8.302187724020645e-07,23659.66415583323,1.8479357772382479e-07
25616.668433188526,6.867754381416635e-07,24698.372077351687,1.52865358536586e-07
23722.523578974073,9.038925409460292e-07,30102.919465516843,2.0119219424058397e-07
24626.266622219413,7.393070956557038e-07,25559.619177644887,1.6455807527400086e-07
26543.989031193843,6.860390185507657e-07,25565.008024900846,1.5270144317423603e-07
25293.29587200567,9.34710551195984e-07,33190.4772023967,2.0805179626565284e-07
24514.36224631676,6.92970151275289e-07,23848.773828117075,1.542442037771277e-07
24568.38874315597,7.311104263481393e-07,25216.83518337346,1.6273362622862258e-07
22117.920941401077,6.891562864614587e-07,21398.973982819174,1.533952977449703e-07
19495.85121185222,6.769568203729136e-07,18528.236992634374,1.5067988939748108e-07
23392.486936630678,6.467673652276608e-07,21240.044429803547,1.4396019380485712e-07
21260.01285906748,6.577265309325632e-07,19630.881910895547,1.4639953088900645e-07
23121.874979756507,6.958852706994728e-07,22588.71989098393,1.5489306328957777e-07
27392.669503374396,6.570822184406961e-07,25268.822204356016,1.4625611711121395e-07
21445.81906430727,8.291660211555107e-07,24964.051013982484,1.8455925193432148e-07
19759.706320215035,8.57828648575842e-07,23796.43826828315,1.9093909980579666e-07
21901.285363411167,7.65961746186249e-07,23550.90559908935,1.7049097922444615e-07
22018.500074560165,7.417571510246558e-07,22928.751110895853,1.6510341887775986e-07
