model,horizon_min,RMSE,MAE,R2,early_warning_F1,breach_rate
Persistence,5.0,1.5016,1.1722,-0.6728,0.0882,0.0204
Persistence,15.0,1.5051,1.1787,-0.6804,0.0784,0.0204
Persistence,30.0,1.5002,1.1796,-0.6689,0.0686,0.0204
MLP,5.0,1.0683,0.8358,0.1533,0.0,0.0204
MLP,15.0,1.0678,0.8315,0.1542,0.0,0.0204
MLP,30.0,1.0678,0.8318,0.1546,0.0,0.0204
LSTM,5.0,1.0642,0.8295,0.1597,0.0,0.0204
LSTM,15.0,1.0647,0.831,0.1592,0.0,0.0204
LSTM,30.0,1.0653,0.8301,0.1584,0.0,0.0204
GRU,5.0,1.065,0.8321,0.1586,0.0,0.0204
GRU,15.0,1.0653,0.8316,0.1582,0.0,0.0204
GRU,30.0,1.0657,0.8329,0.1579,0.0,0.0204
