model,true_class,margin
HistGB,0,0.37109375
HistGB,0,0.263671875
HistGB,0,0.478515625
HistGB,0,1.689453125
HistGB,0,3.681640625
HistGB,0,0.9375
HistGB,0,3.505859375
HistGB,0,0.283203125
HistGB,0,0.859375
HistGB,0,1.40625
HistGB,0,5.0
HistGB,0,0.17578125
HistGB,0,0.126953125
HistGB,0,0.673828125
HistGB,0,0.546875
HistGB,0,1.064453125
HistGB,0,0.44921875
HistGB,0,0.634765625
HistGB,0,0.107421875
HistGB,0,0.546875
HistGB,0,0.3125
HistGB,0,0.05859375
HistGB,0,0.7421875
HistGB,0,0.78125
HistGB,0,0.21484375
HistGB,0,0.478515625
HistGB,0,1.93359375
HistGB,0,0.859375
HistGB,0,1.220703125
HistGB,0,0.52734375
HistGB,0,0.283203125
HistGB,0,3.61328125
HistGB,0,0.4296875
HistGB,0,4.04296875
HistGB,0,0.556640625
HistGB,0,0.244140625
HistGB,0,2.373046875
HistGB,0,0.625
HistGB,0,1.865234375
HistGB,0,0.322265625
HistGB,0,0.4296875
HistGB,0,3.134765625
HistGB,0,1.38671875
HistGB,0,1.865234375
HistGB,0,0.05859375
HistGB,1,4.873046875
HistGB,1,1.357421875
HistGB,1,1.5625
HistGB,1,1.54296875
HistGB,1,1.9140625
HistGB,1,0.60546875
HistGB,1,1.513671875
HistGB,1,2.65625
HistGB,1,2.1875
HistGB,1,2.333984375
HistGB,1,5.0
HistGB,1,3.916015625
HistGB,1,0.95703125
HistGB,1,0.478515625
HistGB,1,0.3515625
HistGB,1,0.6640625
HistGB,1,0.439453125
HistGB,1,5.0
HistGB,1,3.154296875
HistGB,1,4.873046875
HistGB,1,0.1953125
HistGB,1,1.26953125
HistGB,1,0.25390625
HistGB,1,2.51953125
HistGB,1,1.23046875
HistGB,1,0.48828125
HistGB,1,2.451171875
HistGB,1,5.0
HistGB,1,1.513671875
HistGB,1,1.11328125
HistGB,1,2.48046875
HistGB,1,0.078125
HistGB,1,3.017578125
HistGB,1,0.322265625
HistGB,1,1.328125
HistGB,1,1.826171875
HistGB,1,1.9921875
HistGB,1,0.927734375
HistGB,1,2.060546875
HistGB,1,2.421875
HistGB,1,1.259765625
HistGB,1,1.962890625
HistGB,1,3.095703125
HistGB,1,0.7421875
HistGB,1,1.318359375
HistGB,1,0.99609375
HistGB,1,2.353515625
HistGB,1,1.689453125
LogReg,0,0.72265625
LogReg,0,1.962890625
LogReg,0,0.68359375
LogReg,0,0.48828125
LogReg,0,1.50390625
LogReg,0,0.810546875
LogReg,0,0.380859375
LogReg,0,0.947265625
LogReg,0,2.65625
LogReg,0,0.33203125
LogReg,0,0.09765625
LogReg,0,1.58203125
LogReg,0,0.99609375
LogReg,0,0.810546875
LogReg,0,2.685546875
LogReg,0,0.0390625
LogReg,0,1.15234375
