class,feature,mean_abs_shap
Combined_Weather_Electrical,voltage_rms_V,0.05711
Combined_Weather_Electrical,current_rms_A,0.00715
Combined_Weather_Electrical,frequency_Hz,0.00042
Combined_Weather_Electrical,temperature_C,0.01008
Combined_Weather_Electrical,irradiance_Wm2,0.00162
Combined_Weather_Electrical,harmonic_3rd_pct,0.03472
Combined_Weather_Electrical,harmonic_5th_pct,0.01708
Combined_Weather_Electrical,harmonic_7th_pct,0.03214
Combined_Weather_Electrical,THD_voltage_pct,0.06651
Combined_Weather_Electrical,THD_current_pct,0.02467
Harmonic_Distortion,voltage_rms_V,0.03511
Harmonic_Distortion,current_rms_A,0.00995
Harmonic_Distortion,frequency_Hz,0.00056
Harmonic_Distortion,temperature_C,0.00531
Harmonic_Distortion,irradiance_Wm2,0.00132
Harmonic_Distortion,harmonic_3rd_pct,0.03853
Harmonic_Distortion,harmonic_5th_pct,0.01865
Harmonic_Distortion,harmonic_7th_pct,0.03879
Harmonic_Distortion,THD_voltage_pct,0.04549
Harmonic_Distortion,THD_current_pct,0.03232
None,voltage_rms_V,0.21959
None,current_rms_A,0.00934
None,frequency_Hz,0.00072
None,temperature_C,0.00426
None,irradiance_Wm2,0.01584
None,harmonic_3rd_pct,0.05304
None,harmonic_5th_pct,0.02645
None,harmonic_7th_pct,0.00962
None,THD_voltage_pct,0.08591
None,THD_current_pct,0.04782
Voltage_Sag,voltage_rms_V,0.19865
Voltage_Sag,current_rms_A,0.0097
Voltage_Sag,frequency_Hz,0.00122
Voltage_Sag,temperature_C,0.00442
Voltage_Sag,irradiance_Wm2,0.01723
Voltage_Sag,harmonic_3rd_pct,0.02018
Voltage_Sag,harmonic_5th_pct,0.00917
Voltage_Sag,harmonic_7th_pct,0.00391
Voltage_Sag,THD_voltage_pct,0.02613
Voltage_Sag,THD_current_pct,0.00886
